x_value,total_1,total_2
0,1000,1000
1,1005,1004
2,1010,1005
3,1004,1001
4,1009,1002
5,1008,1006
6,1012,1008
7,1008,1012
8,1005,1011
9,999,1016
10,994,1012
11,993,1010
12,1001,1012
13,1006,1007
14,1008,1004
15,1016,1008
16,1015,1007
17,1021,1011
18,1029,1014
19,1036,1010
20,1037,1006
21,1043,1003
22,1037,1008
23,1035,1007
24,1032,1004
25,1027,1010
26,1031,1006
27,1033,1012
28,1031,1014
29,1028,1010
30,1023,1014
31,1031,1015
32,1034,1014
33,1035,1018
34,1034,1019
35,1032,1020
36,1034,1015
37,1031,1013
38,1034,1011
39,1041,1009
40,1044,1013
41,1052,1014
42,1046,1017
43,1050,1016
44,1047,1016
45,1050,1021
46,1047,1019
47,1044,1021
48,1038,1016
49,1045,1020
50,1045,1025
51,1039,1020
52,1043,1018
53,1037,1019
54,1045,1017
55,1040,1020
56,1045,1015
57,1041,1021
58,1041,1025
59,1044,1022
60,1047,1018
61,1042,1020
62,1042,1017
63,1037,1019
64,1035,1019
65,1039,1025
66,1040,1027
67,1048,1025
68,1051,1025
69,1052,1029
70,1059,1026
71,1055,1022
72,1049,1028
73,1053,1024
74,1049,1023
75,1054,1028
76,1055,1026
77,1061,1026
78,1068,1029
79,1074,1027
80,1074,1027
81,1076,1029
82,1075,1028
83,1077,1033
84,1084,1029
85,1080,1029
86,1077,1033
87,1081,1039
88,1083,1039
89,1085,1039
90,1093,1040
91,1098,1038
92,1095,1035
93,1091,1032
94,1099,1027
95,1098,1032
96,1105,1031
97,1110,1037
98,1116,1041
99,1119,1041
100,1122,1036
101,1125,1033
102,1121,1033
103,1126,1030
104,1124,1035
105,1118,1041
106,1114,1043
107,1110,1040
108,1113,1041
109,1112,1041
110,1112,1043
